,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-780.00,219.12,,,240.74,,700.00,3900.00,-18.84,-13.25,59.26,62.41,19.64,9.09,49.71,1.62,60.82,56.33,-30.49,-25.06,13.23,-10.23,-41.90,-47.11,-8119831.25,2887.17,-677877.39,-244417.82,99.81,-110.56,106.37,241.51,105.87,247.59,-100.89
GPM_sy,,148.82,-86.99,,,70.82,,116.50,448.44,132.21,104.18,25.32,-49.34,-58.93,-43.76,-9.73,1.99,60.82,39.74,-25.39,-26.98,39.91,-0.24,31.11,43.48,-69.40,-57.01,-973.52,-1384.38,-5251.49,-895.86,84.74,107.04,107.31,166.37,186.01
GPM_qq,,,,,-125.93,4042.86,14.86,-31.86,23.15,-15.79,22.77,25.09,25.58,-37.96,11.94,71.67,-14.76,-1.82,8.82,-23.67,-8.10,48.33,-13.73,-50.59,-16.35,-22772678.12,100.03,-11310.06,69.85,82.07,98.26,6862.95,569.84,-99.26,-56.18,-140.97
GPM_sq,,,,,-26.65,94.46,-6.41,62.17,85.81,-17.67,-17.70,-0.47,-24.88,-33.25,12.69,59.77,-15.13,5.25,-2.09,-14.69,-16.94,101.67,-30.18,12.11,-9.11,-56.99,-1.90,-2377.90,-33.64,-72.50,84.84,56.33,161.69,79.12,37.55,-43.41
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
